customer_id,first_name,last_name,company,kind,job_count,first_job,last_job,addresses
cus_3fa02a2e5e944cb1952b019a40d3afc5,,,Starfish Hospitality,homeowner,145,2026-03-04T16:00:00Z,2026-09-01T20:24:17Z,101 Glasswort Terrace Rd Homestead FL 33155 | 69 Sanddollar Pointe Trail East Pinecrest FL 33155 | 10343 E Old Mangrove Rd F308 Pinecrest FL 33155 | 10343 E Old Mangrove Rd B324 Pinecrest FL 33155 | 104 N Grouper Hollow Square Palmetto Bay FL 33155 | 4220 E Old Mangrove Rd Unit A Coral Gables FL 33162 | 8504 E Old Mangrove Rd Palmetto Bay FL 33155 | 103 Bowline Isle Rd Pinecrest FL 33155 | 265 Plover Key Loop E Pinecrest FL 33155 | 44 Plumeria Harbor Dr Homestead FL 33155 | 87 Marlin Ridge Rd Coral Gables FL 33162 | 78 Cowrie Ln Cutler Bay FL 33162 | 8 Saltbush Terrace Ln Palmetto Bay FL 33155 | 104 North Grouper Hollow Square 3F Palmetto Bay FL 33155 | 8046 E Old Mangrove Rd Cutler Bay FL 33155 | 7 Kingfisher Hollow Lane Coral Gables FL 33162 | 45 Saltbush Bluff Ct Palmetto Bay FL 33155 | 90 N Nautilus Key Ln Pinecrest FL 33155 | 20 Bowline Isle Rd Pinecrest FL 33155 | 336 Wahoo Dr Coral Gables FL 33162 | 13 Seahorse Isle Lane Coral Gables FL 33162 | 27 Wahoo Glen Ln Pinecrest FL 33155 | 10254 E Old Mangrove Rd Unit 325 Pinecrest FL 33155 | 16 Seagrape Terrace Ln Coral Gables FL 33162 | 46 Palmetto Glen Loop Homestead FL 33162 | 17281 Amberjack Cay Rd Unit 301 Homestead FL 33162 | 227 Grouper Key Ln Pinecrest FL 33162 | 144 Amberjack Key Ln Unit 401 Coral Gables FL 33162 | 52 Portside Blvd E Pinecrest FL 33155 | 21 Marlin Cove Ln Palmetto Bay FL 33155 | 10140 E Old Mangrove Rd Unit 102C Palmetto Bay FL 33155 | 23011 Amberjack Cay Rd Ramsgate #16 Homestead FL 33162 | 279 Plover Key Loop E Pinecrest FL 33162 | 8600 E Old Mangrove Rd Unit 210 Homestead FL 33155 | 114 S Leeward Glen St Cutler Bay FL 33155 | 13 Rudder Reef Loop Pinecrest FL 33162 | 64 Tidewater Shores Ln Palmetto Bay FL 33162 | 1660 E Old Mangrove Rd Unit #302 Coral Gables FL 33162 | 255 Cormorant Rd Unit #8 Coral Gables FL 33162 | 90 Sanddollar Isle Ave Coral Gables FL 33162 | 23223 Amberjack Cay Road C1 - 704 Homestead FL 33162 | 321 Buttonwood Key St Coral Gables FL 33162 | 45 Wahoo Landing St Unit 45C Pinecrest FL 33155 | 399 Plumeria Harbor Drive Homestead FL 33162 | 192 E Egret Hollow Loop Homestead FL 33155 | 8266 East Old Mangrove Rd Palmetto Bay FL 33155 | 32 Permit Harbor Ln Coral Gables FL 33162 | 395 Bayberry Pointe Way Coral Gables FL 33162 | 41 E Egret Hollow Loop Homestead FL 33162 | 144 Osprey Reef Ln Coral Gables FL 33162 | 47 Osprey Reef Ln Coral Gables FL 33162 | 195 Skimmer Cove Ln Cutler Bay FL 33162 | 256 Windward Shores Way Cutler Bay FL 33155 | 40 Seashell Terrace Dr Homestead FL 33155 | 127 Wahoo Hollow St Coral Gables FL 33162 | 101 Seashell Cove Street Palmetto Bay FL 33155 | 10254 E Old Mangrove Rd High Pointe 422 Pinecrest FL 33155 | 349 Plumeria Harbor Dr Homestead FL 33155 | 13 Skimmer Ridge Loop Pinecrest FL 33162 | 157 Seagrape Glen Run E Homestead FL 33162 | 469 Wahoo Dr Coral Gables FL 33162 | 10254 E Old Mangrove Rd High Pointe Unit 36W Pinecrest FL 33155 | 639 Plumeria Cay Rd Coral Gables FL 33162 | 11 Egret Bluff Cv Cutler Bay FL 33155 | 21715 Amberjack Cay Rd Homestead FL 33162 | 83 Cowrie Ln Palmetto Bay FL 33155 | 10 Banyan Glen Ln Coral Gables FL 33162 | 9 E Egret Hollow Loop Cutler Bay FL 33155 | 56 E Egret Hollow Loop Homestead FL 33162 | 100 Plover Key Loop East Cutler Bay FL 33155 | 46 Palmetto Glen Loop Homestead FL 33155 | 350 Saltbush Reef Trail Unit 4 Coral Gables FL 33162 | 78 N Grouper Hollow Square Unit 6 Cutler Bay FL 33155 | 10254 E Old Mangrove Rd Unit 42W Pinecrest FL 33155 | 8 Osprey Landing Ct Cutler Bay FL 33155 | 11 Windward Shores Way Homestead FL 33155 | 8638 E Old Mangrove Rd 402A Homestead FL 33155 | 35 Spinnaker Harbor Drive Coral Gables FL 33162 | 134 Cocoplum Isle Dr Palmetto Bay FL 33155 | 10254 E Old Mangrove Rd 23W Pinecrest FL 33155 | 80 Portside Blvd W Unit #104 Homestead FL 33162
cus_a5ac7cbfb1b143188345e511ec0b2c21,Lighthouse,Hospitality,,homeowner,101,2026-03-02T15:00:00Z,2026-09-11T16:00:00Z,"103 Grouper Landing Rd Casa de Egret Key Biscayne FL 33182 | 22 Cowrie Glen Way Coral Gables FL 33162 | 9300 Coquina Glen Blvd Unit 507 Key Biscayne FL 33182 | 4016 Sandcastle Harbor Dr Miami Beach FL 33182 | 1358 Ibis Cay Dr 1358 Davenport Sellers Key Biscayne FL 33182 | 9300 Coquina Glen Blvd Unit 509 Key Biscayne FL 33182 | 4555 Rudder Loop East Miami Beach FL 33182 | 5271 Skimmer Isle Drive Key Biscayne FL 33182 | 9800 Seahorse Ridge Blvd Unit 5612 Key Biscayne FL 33182 | 716 Amberjack Bluff Dr Key Biscayne FL 33182 | 4053 Sandcastle Harbor Dr Key Biscayne FL 33182 | 4101 Sandcastle Harbor Dr Miami Beach FL 33182 | 95 Gulfstream Reef Dr Daniels Retreat Coral Gables FL 33162 | 1892 Tidewater Landing Dr 1892 Villa Lago Key Biscayne FL 33182 | 8532 Spinnaker Ridge Ct Key Biscayne FL 33182 | 80 Hibiscus Reef Dr Bayberry Terrace Hibiscus Reef Key Biscayne FL 33182 | 1977 Flamingo Harbor Loop Key Biscayne FL 33182 | 4056 Sandcastle Harbor Dr Key Biscayne FL 33182 | 122 Marlin Hollow Dr Ariel Dunes II, 302 Miami Beach FL 33182 | 122 Marlin Hollow Dr Ariel Dunes II, 602 Miami Beach FL 33182 | 1922 Flamingo Harbor Loop Key Biscayne FL 33182 | 416 S Coral Ridge Pkwy Lighthouse Warehouse Coral Gables FL 33162 | 5274 Skimmer Isle Way Key Biscayne FL 33182 | 4287 Firebush Pointe 2 Key Biscayne FL 33182 | 9800 Seahorse Ridge Blvd Unit 5610 Key Biscayne FL 33182 | 823 Marlin Cay Dr Miami Beach FL 33182 | 4348 Firebush Pointe 2 Key Biscayne FL 33182 | 220 Ibis Hollow Dr Key Biscayne FL 33182 | 1843 Tidewater Landing Dr Key Biscayne FL 33182 | 8971 Rudder Cay Dr 8971 Rudder Cay Key Biscayne FL 33182 | 715 Amberjack Bluff Drive Miami Beach FL 33182 | 4806 Allamanda Shores Blvd Lavish Escape Miami Beach FL 33182 | 5245 Harborlight Cay Rd 30A Unit B Coral Gables FL 33162 | 1978 Flamingo Harbor Loop Key Biscayne FL 33182 | 1860 Cowrie Hollow Drive Key Biscayne FL 33182 | 218 Tern Landing Street Coral Gables FL 33162 | 212 Ixora Hollow Way Miami Beach FL 33182 | 1889 Flamingo Harbor Loop Key Biscayne FL 33182 | 1338 Seafoam Harbor Run E Key Biscayne FL 33182 | 4816 Allamanda Shores Boulevard Miami Beach FL 33182 | 505 Allamanda Pointe Pl Miami Beach FL 33182 | 5245 Harborlight Cay Rd 30A Unit A Coral Gables FL 33162 | 4468 Flamingo Bluff Drive Miami Beach FL 33182 | 1848 Tidewater Landing Drive Key Biscayne FL 33182 | 53 Sabal Bluff Court Key Biscayne FL 33182 | 4744 Allamanda Shores Blvd Miami Beach FL 33182 | 8609 Rudder Landing Lane Miami Beach FL 33182 | 8985 Rudder Cay Dr Miami Beach FL 33182 | 956 Cowrie Hollow Drive Unit 119 Key Biscayne FL 33182 | 2441 Seashell Ln Miami Beach FL 33182 | 2470 Seashell Ln Key Biscayne FL 33182 | 5087 Grouper Ridge Way Miami Beach FL 33182 | 9700 Seahorse Ridge Blvd Unit 4118 Key Biscayne FL 33182 | 9700 Seahorse Ridge Blvd Unit 4120 Key Biscayne FL 33182 | 1860 Tidewater Landing Drive Key Biscayne FL 33182 | 5000 S Sabal Shores Blvd Unit 7102 Key Biscayne FL 33182 | 70 Plumeria Isle Lane Unit C Homestead FL 33162 | 9100 Coquina Glen Blvd 454 Key Biscayne FL 33182 | 4848 Ixora Key Dr Key Biscayne FL 33182 | Rudder Shores 5155 Key Biscayne FL 33182 | 8111 Keel Cove Way Key Biscayne FL 33182"
cus_d37b4a33f592412593e7d6d6b6dd44de,,,Whitecap Hospitality,homeowner,83,2026-03-04T20:00:00Z,2026-09-10T14:00:00Z,239 Wahoo Hollow St Coral Gables FL 33162 | 9955 E Old Mangrove Rd Unit 110 Homestead FL 33162 | 81 Portside Boulevard 103 Homestead FL 33162 | 130 Wahoo Glen Ln Pinecrest FL 33155 | 75 Wahoo Cay St Kendall FL 33155 | 219 Grouper Key Lane Pinecrest FL 33162 | 46 Bougainvillea Glen Road Coral Gables FL 33162 | 40 Nautilus Hollow Lane Unit A3 Homestead FL 33162 | 277 Portside Key Rd Coral Gables FL 33162 | 121 Rudder Glen St Coral Gables FL 33162 | 69 Permit Trail Homestead FL 33162 | 36 Wahoo Reef Ln Homestead FL 33162 | 144 Amberjack Key Ln Unit 107 Coral Gables FL 33162 | 70 Halyard Isle Circle Cutler Bay FL 33155 | 255 Allamanda Cay Cir Unit 5 Homestead FL 33155 | 143 Frangipani Terrace Way Pinecrest FL 33162 | 4 Harborlight Shores Blvd S Unit 202 Coral Gables FL 33162 | 81 S Portside Isle St 203 Cutler Bay FL 33155 | 172 E Egret Hollow Loop Palmetto Bay FL 33155 | 54 Plover Terrace St Pinecrest FL 33162 | 4045 West Old Mangrove Rd 301 Coral Gables FL 33162 | 4100 East Old Mangrove Rd 907 Coral Gables FL 33162 | 107 Seagrape Glen Run E Homestead FL 33162 | 8 Saltbush Pointe Ln Palmetto Bay FL 33162 | 336 West Glasswort Pointe Avenue Homestead FL 33162 | 38 Snapper Hollow Street Coral Gables FL 33162 | 281 Snapper Hollow St Coral Gables FL 33162 | 40 Seashell Terrace Drive Homestead FL 33155 | 8191 E Old Mangrove Rd Cutler Bay FL 33155 | 565 Tern Harbor Loop Coral Gables FL 33162 | 82 Plover Key Loop West Cutler Bay FL 33155 | 134 Wahoo Hollow St Coral Gables FL 33162 | 303 Sandcastle Shores Drive Coral Gables FL 33162 | 11 Sanddollar Pointe Trail West Palmetto Bay FL 33155 | 4 Harborlight Shores Blvd S unit 202 Coral Gables FL 33162 | 216 Cormorant Rd Unit 4B Coral Gables FL 33162 | 14 Saltbush Terrace Lane Homestead FL 33162 | 10254 East Old Mangrove Rd Unit 434 Pinecrest FL 33155 | 128 Cormorant Rd Unit 13 Coral Gables FL 33162 | 2050 W Old Mangrove Rd 219 Coral Gables FL 33162 | 184 E Coquina Key Ave Coral Gables FL 33162 | 316 S Seagrape Pkwy Coral Gables FL 33162 | 3210 E Old Mangrove Rd Coral Gables FL 33162 | 93 Barnacle Key St Coral Gables FL 33162 | 52 Palmetto Bluff Ct Coral Gables FL 33162 | 561 Bougainvillea Glen Rd Unit 202 Coral Gables FL 33162 | 70 Seahorse Isle Lane Coral Gables FL 33162 | 100 S Seashell Reef Ln Unit 5D Coral Gables FL 33162 | 11 Firebush Pointe Dr Unit 723 Coral Gables FL 33162 | 2441 West Old Mangrove Rd D204 Coral Gables FL 33162 | 18 Plover Shores Drive Unit B Coral Gables FL 33162 | 44 Sargassum Pointe Dr #B Coral Gables FL 33162
cus_999b657ded4e46749c0618f176be1320,Windward,Hospitality,,homeowner,59,2026-03-07T23:00:00Z,2026-08-31T16:00:00Z,105 Bowline Pointe Cir Coral Gables FL 33162 | 429 Kingfisher Pointe Ln Unit 425A Palmetto Bay FL 33155 | 5 Bayberry Glen St Coral Gables FL 33162 | 2804 E Old Mangrove Rd Coral Gables FL 33162 | 21 Moonraker Key Street Coral Gables FL 33162 | 169 Moonraker Landing Circle Coral Gables FL 33162 | 29 E Cowrie Cove St Coral Gables FL 33162 | 23 E Cowrie Cove St Coral Gables FL 33162 | 146 Buttonwood Key St Coral Gables FL 33162 | 274 Orchid Bluff Street Cutler Bay FL 33155 | 164 Limestone Glen Way Coral Gables FL 33162 | 213 Moonraker Landing Circle Coral Gables FL 33162 | 21 Seashell Key Cir Coral Gables FL 33162 | 1235 Egret Pointe Dr Coral Gables FL 33162 | 299 Orchid Bluff St Homestead FL 33155 | 115 Tidewater Shores Lane Palmetto Bay FL 33155 | 194 West Bowline Isle Cutler Bay FL 33155 | 305 Orchid Bluff St Cutler Bay FL 33155 | 97 Amberjack Isle Lane Kendall FL 33155 | 54 Firebush Isle Lane Coral Gables FL 33162 | 89 Harborlight Shores Blvd W Coral Gables FL 33162 | 1938 E Old Mangrove Rd Coral Gables FL 33162 | 605 Egret Pointe Drive Coral Gables FL 33162 | 126 Moonraker Key St Coral Gables FL 33162 | 37 Cowrie Pointe Way 419 Palmetto Bay FL 33155 | 305 Orchid Bluff St Cutler Bay FL 33155 | 113A Saltbush Bluff Ct Palmetto Bay FL 33155 | 337 Kingfisher Pointe Lane 316B Palmetto Bay FL 33155 | 45 Kelp Harbor Lane Coral Gables FL 33162 | 136 Moonraker Key St Coral Gables FL 33162 | 17 Bayberry Glen Lane Coral Gables FL 33162 | 11 Permit Terrace Ct Coral Gables FL 33162 | 323 Orchid Bluff St Cutler Bay FL 33155 | 128 Kelp Terrace St Coral Gables FL 33162 | 51 Cowrie Terrace Ln Coral Gables FL 33162
cus_d2880f9db8464fdeb7dfee5109c9a86f,Tamara,Cruz,,business,48,2026-03-17T19:00:00Z,2026-09-01T20:00:00Z,4122 Sandcastle Harbor Dr Key Biscayne FL 33182 | 15817 Amberjack Cay Rd 407E Homestead FL 33143 | 90 Rudder Ridge Dr E Miami Beach FL 33182 | 2076 Cowrie Hollow Dr Unit 3013 Key Biscayne FL 33182 | Firebush Pointe 2 Unit 4295 Key Biscayne FL 33182 | 4303 Firebush Pointe 2 Key Biscayne FL 33182 | 4144 Sandcastle Harbor Dr Miami Beach FL 33182 | 5277 Skimmer Isle Dr Key Biscayne FL 33182 | 9600 Seahorse Ridge Boulevard Lasata 3216 Key Biscayne FL 33182 | Firebush Pointe 2 Unit 4252 Key Biscayne FL 33182 | 16819 Amberjack Cay Rd Unit 2608 Homestead FL 33162 | 9011 Cormorant Reef Blvd 1206 Key Biscayne FL 33182 | 16819 Amberjack Cay Rd Tidewater 2204 Homestead FL 33162 | 4302 Firebush Pointe 2 Key Biscayne FL 33182 | 15200 Mangrove Isle Parkway 0906 Miami Beach FL 33182 | 4324 Firebush Pointe 2 Miami Beach FL 33182 | 9011 Cormorant Reef Blvd Unit 0212 Key Biscayne FL 33182 | 4283 Firebush Pointe 2 Key Biscayne FL 33182 | 9011 Cormorant Reef Blvd Unit 0802 Key Biscayne FL 33182 | 1874 Tidewater Landing Dr Villa Lago 1874 Key Biscayne FL 33182 | 296 Sabal Shores Boulevard West Key Biscayne FL 33182 | 16819 Amberjack Cay Road Homestead FL 33162 | 296 Sabal Shores Blvd W Key Biscayne FL 33182 | 9011 Cormorant Reef Blvd Beach Manor 0812 Key Biscayne FL 33182 | 9011 Cormorant Reef Boulevard Key Biscayne FL 33182 | 9011 Bayfront Hwy Tennis Village 37 Key Biscayne FL 33182 | 550 Cormorant Reef Blvd Unit 0901 Key Biscayne FL 33182 | Firebush Pointe 2 Unit 4231 Key Biscayne FL 33182 | 5440 Orchid Isle Circle Key Biscayne FL 33182 | 5246 Orchid Isle Dr Key Biscayne FL 33182
cus_acade4679d9d47dc92b182672fbff811,Janice,Donovan,Osprey Hospitality,business,46,2026-03-06T15:00:00Z,2026-08-11T00:00:00Z,34 Egret Harbor St Coral Gables FL 33162 | 27 Barnacle Landing Ln Coral Gables FL 33162 | 128 Banyan Terrace Way Coral Gables FL 33162 | 33 Seahorse Hollow Lane Coral Gables FL 33162 | 42 Allamanda Ridge Blvd Coral Gables FL 33162 | 91 Allamanda Ridge Blvd Coral Gables FL 33162 | 63 Mangrove N Coral Gables FL 33162 | 36 Bougainvillea Harbor Lane Coral Gables FL 33162 | 34 Palmetto Isle Way Coral Gables FL 33162 | 35 Seashell Harbor Rd Coral Gables FL 33162 | 7998 East Old Mangrove Rd Homestead FL 33162 | 178 S Seagrape Dr Cutler Bay FL 33155 | 2542 E Old Mangrove Rd Coral Gables FL 33162 | 25 S Halyard Ridge Dr Unit 211 Coral Gables FL 33162 | 81 Hibiscus Bluff Rd Pinecrest FL 33155 | 15 Oleander Court Coral Gables FL 33162 | 44 Coquina Isle Way Coral Gables FL 33162 | 94 Sanddollar Cove Trail Coral Gables FL 33162 | 145 Amberjack Key Lane Saltbush Key 203 Coral Gables FL 33162 | 49 Mangrove N Coral Gables FL 33162 | 11 Firebush Pointe Drive 831 Coral Gables FL 33162 | 17 Coquina Harbor Way Coral Gables FL 33162 | 144 Amberjack Key Ln 205 Coral Gables FL 33162 | 3092 W Old Mangrove Rd Coral Gables FL 33162 | 2743 East Old Mangrove Rd 201 Coral Gables FL 33162 | 105 Ixora Isle Dr Coral Gables FL 33162 | 126 Ixora Isle Walk Coral Gables FL 33162 | 61 Cowrie Terrace Ln Coral Gables FL 33162 | 40 Wahoo Harbor Ln Cutler Bay FL 33155 | 2421 W Old Mangrove Rd 205 Coral Gables FL 33162 | 234 W Sargassum Shores Ave Coral Gables FL 33162
cus_0f7b6320d618477a973d44675b1a28a2,,,Tidewater Hospitality,homeowner,45,2026-03-04T17:00:00Z,2026-08-24T16:00:00Z,130 Egret Way Coral Gables FL 33162 | 65 Permit Landing Ln Coral Gables FL 33162 | 10343 E Old Mangrove Rd Building G unit 375 Pinecrest FL 33155 | 3880 E Old Mangrove Rd Unti 505 Coral Gables FL 33162 | 128 Marlin Ridge Rd Coral Gables FL 33162 | 3880 E Old Mangrove Rd Unit 502 Coral Gables FL 33162 | 10343 East Old Mangrove Rd Building G - B377 Palmetto Bay FL 33162 | 90 Bonefish Reef Cir Homestead FL 33162 | 11 Firebush Pointe Drive Unit 931 Coral Gables FL 33162 | 53 Palmetto Bluff Court Coral Gables FL 33162 | 3799 E Old Mangrove Rd 12C Coral Gables FL 33162 | 231 Portside Key Rd Unit 1304 Coral Gables FL 33162 | 35 Kelp Terrace St Coral Gables FL 33162 | 51 Ixora Isle Street 273 Coral Gables FL 33162 | 35 Frangipani Cay Ct Cutler Bay FL 33155 | 67 W Egret Hollow Loop Homestead FL 33162 | 28 Nautilus Cove Ln Coral Gables FL 33162 | 10140 East Old Mangrove Rd Unit 19 Palmetto Bay FL 33155 | 3880 E Old Mangrove Rd Unit 506 Coral Gables FL 33162 | 94 Cowrie Harbor Circle Coral Gables FL 33162 | 410 Ixora Isle Dr Coral Gables FL 33162 | 213 Skimmer Cove Ln Cutler Bay FL 33162 | 8 Amberjack Shores Ln Homestead FL 33162 | 5472 W Old Mangrove Rd Coral Gables FL 33162 | 416 South Coral Ridge Pkwy Coral Gables FL 33162 | 80 Permit Landing Lane Coral Gables FL 33162 | 68 Bougainvillea Isle Way Coral Gables FL 33162 | 107 Sargassum Ridge Lane Coral Gables FL 33162 | 11 Firebush Pointe Dr 131 Coral Gables FL 33162 | 11 Firebush Pointe Drive 214 Coral Gables FL 33162 | 13 Whitecap Isle Ct Coral Gables FL 33162 | 142 Permit Shores Cir Cutler Bay FL 33155
cus_7e6ca914b7644668b09accb4644592c9,Palmetto,Hospitality,Whitecap Hospitality,business,26,2026-03-11T22:00:00Z,2026-08-31T16:00:00Z,550 Cormorant Reef Blvd 302 Key Biscayne FL 33182 | 722 Cormorant Reef Blvd 704 Key Biscayne FL 33182 | 550 Cormorant Reef Blvd Unit 309 Key Biscayne FL 33182 | 722 Cormorant Reef Boulevard 909 Key Biscayne FL 33182 | Oleander Glen Key Biscayne 33182 | 550 Cormorant Reef Boulevard Tides Unit 503 Key Biscayne FL 33182 | 722 Cormorant Reef Blvd 314 Key Biscayne FL 33182 | 515 Cormorant Reef Blvd Unit 103 Coral Gables FL 33162 | 515 Cormorant Reef Blvd Unit 103 Coral Gables FL 33162 | 9011 Bayfront Hwy Key Biscayne FL 33182 | 550 Cormorant Reef Blvd 410 Key Biscayne FL 33182 | 515 Cormorant Reef Boulevard Unit 1105A Coral Gables FL 33162 | 338 Cormorant Reef Blvd Key Biscayne FL 33182 | 515 Cormorant Reef Blvd 107 Coral Gables FL 33162 | 550 Cormorant Reef Blvd 1310 Key Biscayne FL 33182 | 550 Cormorant Reef Boulevard Unit 803 Key Biscayne FL 33182 | 338 Cormorant Reef Boulevard Key Biscayne FL 33182 | 515 Cormorant Reef Blvd 1006 Coral Gables FL 33162
cus_83d7ed8701ae4659aab3ed23c73c3a23,Tanya,Delaney,Lighthouse Hospitality,business,26,2026-07-20T13:00:00Z,2026-09-03T17:00:00Z,4311 Banyan Ridge Blvd R Building Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd 114 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Boulevard 13 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd 41 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd 89 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Boulevard 126 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Boulevard 13 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd 102 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 64 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 134 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 135 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Boulevard Building E Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 195 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Boulevard 132 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 54 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 41 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 43 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd Unit 20 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Blvd 106 Fort Lauderdale FL 33176 | 4311 Banyan Ridge Boulevard Building S Fort Lauderdale FL 33176
cus_adbfe65309a14d3aa33c5da5efb03882,Palmetto,Hospitality,Palmetto Hospitality,homeowner,23,2026-03-06T19:30:00Z,2026-08-28T00:00:00Z,277 E Kelp Key St Pinecrest FL 33162 | 108 Limestone Isle Drive Homestead FL 33162 | 48 Whitecap Glen Ln Cutler Bay FL 33162 | 727 Plumeria Cay Rd B104 Coral Gables FL 33162 | 772 Plumeria Cay Rd Unit A104 Coral Gables FL 33162 | 491 Halyard Rd Coral Gables FL 33162 | 2226 S Seagrape Pkwy Coral Gables FL 33162 | 51 Bayberry Reef Avenue Coral Gables FL 33162 | 303 Cowrie Cove Pl Coral Gables FL 33162 | 337 Cormorant Rd Coral Gables FL 33162 | 5055 West Old Mangrove Rd 1025 Coral Gables FL 33162 | 277 E Kelp Key St Pinecrest FL 33155 | 76 Permit Trail Cutler Bay FL 33155
